pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
2,37,1,41,1,-1,5,4,22,16
1,40,1,18,1,-1,5,10,22,22
2,43,1,25,1,-1,5,3,22,15
1,42,1,70,1,-1,6,10,23,22
2,42,1,35,1,-1,5,4,22,16
1,39,1,30,1,-1,3,10,4,22
2,45,1,48,1,-1,9,2,36,7
1,43,1,46,1,-1,8,1,32,2
1,44,1,44,1,-1,9,1,36,2
1,44,1,44,1,-1,6,10,23,22
2,39,1,44,1,-1,12,3,48,15
1,39,2,62,2,-1,9,3,38,14
2,39,2,61,1,-1,9,3,38,14
1,39,2,40,1,-1,9,5,38,17
2,43,1,44,1,-1,8,5,32,17
1,39,1,59,1,-1,3,7,4,19
2,44,1,27,1,-1,8,1,32,1
1,43,1,38,1,-1,10,2,41,10
2,44,1,37,1,-1,10,2,41,10
1,42,1,41,1,-1,5,4,21,16
1,42,1,75,1,-1,5,4,22,16
2,43,4,72,1,-1,10,2,41,10
1,40,1,56,1,-1,5,4,21,16
2,43,1,33,1,-1,5,5,21,17
1,43,1,33,1,-1,5,4,21,16
1,39,2,43,1,-1,6,10,23,22
2,39,2,47,1,-1,3,5,4,17
2,43,1,66,1,-1,10,2,40,8
1,43,1,35,1,-1,9,1,36,2
2,43,2,38,1,-1,10,2,40,8
1,46,1,70,1,-1,9,2,36,7
2,39,1,68,1,-1,10,1,41,1
2,41,1,37,1,-1,10,2,42,10
2,39,1,54,1,-1,10,3,42,11
2,39,1,22,1,-1,10,3,42,11
1,39,1,52,1,-1,10,10,41,22
1,39,1,69,1,-1,6,10,23,22
2,43,1,45,1,-1,9,1,36,1
2,43,1,41,1,-1,9,1,36,1
1,43,2,65,1,-1,3,2,4,4
1,42,1,57,1,-1,5,4,21,16
2,43,1,51,1,-1,10,1,40,2
1,39,1,48,1,-1,9,3,38,14
2,43,1,43,1,-1,10,1,40,1
2,40,1,29,1,-1,9,5,37,17
1,43,2,64,1,-1,8,4,32,16
2,44,2,42,1,-1,10,2,40,10
1,43,2,54,1,-1,10,2,43,6
1,43,1,24,1,-1,8,4,33,16
2,43,1,44,1,-1,9,4,36,16
1,39,1,62,1,-1,3,7,4,19
1,34,1,41,1,-1,6,10,24,22
1,43,1,28,1,-1,9,2,36,9
2,42,1,74,1,-1,10,2,43,8
2,41,1,46,1,-1,10,5,41,17
2,43,1,43,4,2,10,2,43,8
1,40,1,25,1,-1,5,4,22,16
2,42,1,21,1,-1,5,4,22,16
2,40,1,19,1,-1,5,4,22,16
1,43,4,42,1,-1,9,2,36,3
2,43,4,42,1,-1,9,1,36,1
1,42,1,63,1,-1,3,7,4,19
1,40,1,71,5,-1,3,1,4,1
1,39,2,42,1,-1,5,10,21,22
1,40,1,37,1,-1,6,8,23,20
2,41,1,34,1,-1,12,3,48,15
2,39,2,22,4,20,10,2,43,8
2,44,1,47,1,-1,13,1,51,1
1,43,1,71,1,-1,4,1,6,1
2,44,1,54,1,-1,3,7,4,19
2,44,1,43,1,-1,10,2,40,8
1,43,1,72,2,-1,5,2,22,10
2,39,2,37,1,-1,1,3,1,15
2,44,2,34,1,-1,1,3,1,15
2,43,1,39,1,-1,13,3,51,12
1,37,2,62,1,-1,9,3,38,14
1,39,1,32,1,-1,6,5,23,17
1,32,1,59,1,-1,1,9,1,21
2,46,1,43,1,-1,13,2,51,8
1,43,1,55,1,-1,3,1,4,1
2,43,1,56,1,-1,12,1,48,1
1,39,1,56,1,-1,4,1,16,1
2,39,1,56,1,-1,12,1,50,1
1,40,1,31,1,-1,11,3,44,15
1,41,1,33,1,-1,13,3,51,12
1,39,1,35,1,-1,5,9,22,21
1,39,1,35,1,-1,4,2,10,4
2,40,1,22,1,-1,5,5,22,17
2,40,1,64,1,-1,5,4,22,16
1,44,4,34,1,-1,9,2,36,3
1,44,4,42,1,-1,5,2,22,3
1,43,1,29,1,-1,13,10,51,22
2,43,1,30,1,-1,13,1,51,2
2,40,1,60,2,-1,8,4,34,16
1,43,4,31,7,-1,5,4,22,16
1,39,1,62,1,-1,9,4,36,16
2,39,2,30,1,-1,8,4,33,16
2,42,1,64,1,-1,9,1,36,1
1,43,1,27,1,-1,8,2,34,9
1,40,1,25,1,-1,13,3,51,12
2,40,1,24,1,-1,9,5,38,17
2,44,1,57,1,-1,10,2,40,8
1,39,1,48,1,-1,11,1,46,1
1,38,1,53,1,-1,3,7,4,19
1,39,1,41,1,-1,6,8,23,20
1,39,1,31,4,2,5,10,21,22
2,40,1,26,1,-1,11,10,46,22
2,39,1,19,1,-1,9,5,38,17
1,39,1,33,1,-1,3,7,4,19
2,38,4,48,1,-1,12,3,48,15
2,39,2,54,1,-1,5,5,22,17
2,41,1,41,1,-1,10,2,42,10
1,42,1,49,1,-1,9,1,36,1
1,44,1,50,4,3,10,2,41,10
2,41,1,73,3,1,10,2,42,10
1,43,1,45,1,-1,10,1,40,1
2,41,1,40,1,-1,10,1,42,1
2,36,1,17,1,-1,11,4,46,16
1,37,6,18,1,-1,5,3,22,13
1,40,1,37,1,-1,8,5,32,17
2,42,1,38,1,-1,5,4,22,16
1,40,1,31,1,-1,3,7,4,19
2,42,1,22,1,-1,8,1,33,2
2,42,1,22,1,-1,5,3,22,13
2,39,2,22,1,-1,10,3,41,11
2,39,2,21,1,-1,6,10,23,22
1,41,2,20,1,-1,5,4,22,16
1,39,1,59,1,-1,3,7,4,19
1,43,1,75,1,-1,6,1,23,1
2,38,1,55,1,-1,10,3,41,11
2,36,1,60,1,-1,5,5,22,17
1,36,1,61,1,-1,5,4,22,16
2,43,1,47,1,-1,5,4,21,16
1,39,1,61,1,-1,5,10,21,22
2,34,1,58,1,-1,12,3,50,14
2,42,1,36,1,-1,8,5,32,17
1,44,1,85,1,-1,8,1,34,2
2,42,1,50,1,-1,13,5,51,17
2,42,1,23,1,-1,11,10,46,22
1,43,1,44,1,-1,9,1,38,2
1,43,1,54,1,-1,11,1,44,1
2,43,1,54,1,-1,9,2,36,9
1,36,1,17,1,-1,11,5,46,17
2,39,1,19,1,-1,5,4,22,16
1,43,1,66,1,-1,11,3,45,14
2,41,1,33,1,-1,10,2,42,10
1,41,1,44,1,-1,1,10,1,22
2,41,1,56,2,-1,4,9,19,21
1,40,1,27,1,-1,10,4,40,16
1,40,1,52,1,-1,3,7,4,19
2,43,1,36,1,-1,8,4,33,16
1,39,1,36,1,-1,10,3,42,11
1,43,1,75,1,-1,8,4,33,16
2,43,1,64,1,-1,8,1,32,2
1,43,1,58,1,-1,6,2,24,4
2,39,4,70,1,-1,4,5,13,17
1,40,1,74,1,-1,8,4,34,16
1,39,1,41,1,-1,9,10,39,22
2,43,1,41,1,-1,10,4,40,16
1,44,1,67,1,-1,10,2,40,8
2,43,1,41,1,-1,10,2,40,8
2,44,1,49,1,-1,10,2,43,6
2,44,1,68,2,-1,10,1,42,1
2,43,1,28,1,-1,9,2,38,4
