peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
34,1,55,1,-1,9,3,38,14
40,1,30,1,-1,9,5,36,17
43,1,28,1,-1,10,5,42,17
39,1,55,1,-1,13,5,51,17
46,1,53,1,-1,10,2,40,8
42,1,20,4,2,11,10,46,22
40,1,62,1,-1,5,10,21,22
40,1,46,1,-1,9,3,38,14
43,1,38,1,-1,10,2,40,8
43,1,60,4,20,9,1,36,1
40,1,25,7,-1,5,4,22,16
40,1,32,7,-1,11,3,46,13
37,1,59,1,-1,3,7,4,19
35,1,54,1,-1,5,10,22,22
42,2,48,1,-1,10,1,40,1
39,2,38,1,-1,10,2,43,6
40,2,38,1,-1,9,3,38,11
41,1,41,1,-1,12,8,47,20
41,1,34,1,-1,10,2,42,10
41,1,45,1,-1,5,1,21,2
40,1,78,1,-1,8,1,34,1
40,1,77,1,-1,8,1,34,1
44,1,47,1,-1,10,2,40,8
39,4,70,1,-1,4,5,19,17
40,1,62,1,-1,8,4,34,16
40,1,64,1,-1,11,3,46,13
43,1,75,1,-1,8,4,34,16
39,1,42,1,-1,9,2,39,4
43,1,42,1,-1,7,4,25,16
43,1,32,1,-1,11,1,46,1
43,1,29,1,-1,9,2,36,4
43,1,33,1,-1,10,5,42,17
39,1,62,1,-1,5,4,22,16
43,2,57,1,-1,10,2,41,10
42,2,60,1,-1,6,8,24,20
39,1,57,1,-1,4,9,6,21
43,1,27,1,-1,6,3,23,15
39,2,37,1,-1,8,2,33,10
44,1,47,4,34,3,1,4,1
46,1,50,1,-1,10,2,40,8
44,1,67,1,-1,10,2,42,6
44,1,64,1,-1,10,2,40,8
44,1,49,1,-1,4,3,14,13
37,2,67,1,-1,10,3,42,11
45,1,65,1,-1,9,1,36,1
40,1,64,2,-1,12,8,47,20
39,1,40,2,-1,11,3,46,13
42,1,41,2,-1,8,5,33,17
34,1,15,2,-1,11,3,46,13
37,1,22,2,-1,11,3,46,13
41,2,42,1,-1,10,3,42,11
39,2,20,1,-1,11,3,46,13
39,1,85,1,-1,4,1,11,1
40,1,54,1,-1,6,5,23,17
40,2,49,1,-1,9,3,38,14
40,2,66,1,-1,5,4,22,16
43,2,37,1,-1,5,4,22,16
37,2,59,1,-1,9,3,38,14
44,2,44,1,-1,13,1,51,2
39,2,43,1,-1,11,1,46,1
40,2,44,1,-1,4,8,10,20
44,1,48,1,-1,4,2,10,4
41,1,40,1,-1,11,5,45,17
40,1,44,1,-1,4,5,10,17
40,1,42,1,-1,6,10,23,22
44,1,55,1,-1,9,1,36,1
40,1,55,1,-1,12,3,50,14
41,1,20,1,-1,12,3,49,13
39,1,21,1,-1,3,7,4,19
44,1,54,1,-1,8,2,34,3
44,1,48,1,-1,10,2,40,8
39,4,43,1,-1,3,2,4,4
39,4,24,1,-1,3,7,4,19
40,2,74,1,-1,10,5,41,17
39,1,29,1,-1,11,1,46,1
43,1,40,1,-1,9,5,36,17
39,1,40,1,-1,5,4,22,16
39,2,53,1,-1,6,10,23,22
46,1,63,1,-1,10,2,40,8
43,1,57,1,-1,10,1,42,2
43,1,61,1,-1,4,2,8,4
44,1,61,1,-1,4,5,17,17
44,1,26,1,-1,10,2,40,8
39,1,65,1,-1,6,1,23,1
43,1,58,1,-1,9,5,36,17
40,1,60,1,-1,4,9,6,21
43,1,30,1,-1,5,1,22,1
43,1,25,1,-1,10,2,41,10
40,6,57,1,-1,5,4,22,16
42,6,48,1,-1,13,5,51,17
36,1,57,1,-1,3,7,4,19
39,1,57,1,-1,3,7,4,19
39,1,22,1,-1,4,10,19,22
39,1,43,1,-1,5,10,22,22
39,2,44,1,-1,6,10,23,22
43,2,38,2,-1,6,10,23,22
43,2,36,1,-1,6,10,23,22
45,2,63,1,-1,10,2,42,10
46,1,57,1,-1,10,2,40,8
42,1,57,1,-1,9,2,36,3
46,1,55,1,-1,10,2,41,10
40,1,70,1,-1,10,3,40,15
46,1,44,1,-1,13,2,51,5
43,4,19,1,-1,10,3,43,11
43,6,61,1,-1,10,5,42,17
34,1,38,1,-1,3,7,4,19
38,1,40,1,-1,5,4,22,16
40,1,29,1,-1,5,4,22,16
45,1,74,1,-1,9,2,36,7
43,1,47,1,-1,9,2,36,9
44,1,50,1,-1,4,1,17,1
44,1,51,1,-1,10,2,40,8
39,1,45,1,-1,3,7,4,19
44,2,61,1,-1,13,1,51,2
43,2,29,4,13,11,3,46,13
43,23,43,1,-1,13,1,51,1
43,6,39,1,-1,9,2,36,3
40,2,67,1,-1,9,1,36,2
43,2,52,1,-1,4,2,8,3
43,10,55,1,-1,5,1,22,2
39,1,35,1,-1,5,9,22,21
39,1,54,1,-1,3,7,4,19
43,2,27,1,-1,9,5,36,17
43,1,30,1,-1,11,2,44,3
43,2,58,1,-1,5,4,22,16
43,2,59,1,-1,12,1,47,1
42,1,58,1,-1,5,4,22,16
43,1,55,1,-1,9,1,39,1
39,1,43,4,65,9,3,38,14
38,1,46,4,65,9,3,38,14
37,1,23,1,-1,3,7,4,19
39,1,50,1,-1,3,7,4,19
39,1,53,1,-1,12,5,49,17
44,1,73,1,-1,10,2,42,10
39,1,43,1,-1,1,1,1,1
43,1,57,1,-1,13,5,51,17
37,2,61,1,-1,11,3,46,13
39,2,21,1,-1,11,3,46,13
39,1,55,1,-1,4,9,10,21
34,1,61,1,-1,6,10,23,22
43,1,30,1,-1,6,5,24,17
39,1,39,1,-1,4,5,13,17
39,1,39,1,-1,6,8,24,20
39,1,45,1,-1,4,9,11,21
39,1,19,1,-1,11,3,46,13
39,1,36,1,-1,7,8,29,20
39,1,34,1,-1,10,5,42,17
39,1,36,1,-1,10,7,41,19
40,1,35,1,-1,10,3,42,11
39,1,46,1,-1,4,10,16,22
39,3,22,1,-1,8,1,34,1
39,1,24,1,-1,3,7,4,19
39,1,35,1,-1,10,2,40,8
43,2,66,1,-1,5,4,22,16
42,2,35,1,-1,3,2,4,3
43,1,34,1,-1,10,2,40,8
40,2,63,1,-1,10,3,41,14
43,2,55,1,-1,9,2,36,8
41,1,41,1,-1,13,3,51,12
43,1,38,1,-1,10,2,40,8
46,1,50,1,-1,10,2,40,8
39,2,30,1,-1,10,3,42,11
36,2,63,1,-1,6,10,23,22
36,2,46,1,-1,9,3,38,14
40,2,24,1,-1,10,2,42,10
39,1,19,1,-1,5,4,22,16
39,1,20,1,-1,12,10,48,22
40,1,57,1,-1,5,4,22,16
40,1,60,1,-1,5,4,22,16
43,1,68,1,-1,5,10,22,22
39,7,70,1,-1,4,10,16,22
43,1,33,2,-1,10,2,41,10
43,1,32,2,-1,10,2,41,10
39,1,59,1,-1,4,9,17,21
37,1,18,1,-1,5,10,21,22
43,2,47,1,-1,6,2,23,3
42,1,46,1,-1,10,2,40,8
43,1,61,1,-1,6,2,24,4
39,1,44,1,-1,11,3,46,13
40,1,41,1,-1,5,4,22,16
44,1,71,1,-1,11,2,44,9
39,1,71,1,-1,5,4,22,16
40,1,71,1,-1,12,5,49,17
43,1,40,2,-1,3,7,4,19
37,1,17,1,-1,11,3,46,13
39,16,19,1,-1,5,10,22,22
40,16,51,1,-1,6,5,24,17
39,1,50,1,-1,5,4,22,16
39,1,71,1,-1,4,10,14,22
46,1,49,1,-1,10,1,40,1
43,1,47,1,-1,13,1,51,2
35,1,16,7,-1,10,3,42,13
43,4,25,1,-1,4,1,9,1
43,4,23,1,-1,8,5,33,17
42,4,52,4,12,14,11,52,23
40,1,31,1,-1,6,10,23,22
40,1,30,1,-1,10,2,40,8
39,1,45,1,-1,9,10,36,22
39,1,34,1,-1,12,9,47,21
39,1,36,4,1,11,4,46,16
39,1,18,1,-1,11,3,46,13
40,1,21,1,-1,11,3,46,13
43,1,54,1,-1,5,4,21,16
39,1,58,1,-1,4,2,13,7
40,1,51,1,-1,11,3,46,13
39,1,21,1,-1,9,10,39,22
40,1,62,1,-1,10,2,40,10
39,1,31,1,-1,6,10,24,22
39,1,29,1,-1,9,3,38,14
39,1,26,1,-1,10,3,42,11
39,1,56,1,-1,12,3,48,15
43,1,38,1,-1,10,2,40,8
37,1,19,1,-1,10,5,40,17
41,1,59,1,-1,4,3,10,12
41,1,59,1,-1,4,3,10,11
43,1,53,1,-1,8,5,34,17
41,1,47,1,-1,4,8,14,20
43,1,25,1,-1,5,10,22,22
39,1,57,1,-1,4,10,7,22
39,1,28,1,-1,5,10,22,22
41,1,56,1,-1,10,2,41,10
46,1,39,1,-1,10,2,42,10
46,1,40,1,-1,10,2,42,10
36,1,16,1,-1,11,3,44,15
43,1,48,1,-1,4,9,19,21
43,1,43,1,-1,4,5,19,17
40,1,31,1,-1,9,3,38,14
39,2,66,1,-1,10,3,40,13
44,1,40,1,-1,10,2,42,6
44,1,46,1,-1,10,2,42,10
36,1,63,1,-1,9,3,38,14
34,2,69,1,-1,10,3,41,11
39,2,50,1,-1,8,3,34,14
37,2,19,2,-1,11,4,46,16
40,2,31,1,-1,9,1,39,1
45,1,35,1,-1,5,2,22,10
37,2,57,1,-1,4,9,14,21
36,2,42,2,-1,12,3,49,11
42,1,52,1,-1,5,4,22,16
44,1,62,1,-1,5,4,22,16
36,2,66,1,-1,9,10,38,22
44,2,48,1,-1,10,2,40,8
43,1,30,1,-1,3,1,4,1
39,1,26,1,-1,10,8,40,20
43,1,24,1,-1,10,2,40,8
32,5,35,1,-1,3,7,4,19
32,5,34,1,-1,3,7,4,19
43,1,47,1,-1,10,2,41,10
43,1,44,1,-1,10,2,42,10
43,1,37,1,-1,4,9,18,21
