pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
1,40,1,24,1,-1,11,3,45,14
1,37,1,48,1,-1,3,7,4,19
1,36,2,40,1,-1,3,7,4,19
1,43,2,45,1,-1,3,7,4,19
1,42,1,40,1,-1,8,2,33,3
2,44,1,44,1,-1,10,1,43,1
1,46,2,43,1,-1,9,2,36,7
1,42,1,50,1,-1,6,8,24,20
2,40,1,52,1,-1,11,3,46,13
2,44,1,25,1,-1,12,1,49,1
1,39,1,22,1,-1,9,10,38,22
1,43,1,61,1,-1,4,5,16,17
2,43,1,62,1,-1,10,2,42,10
1,43,1,57,1,-1,13,3,51,12
2,43,1,57,1,-1,10,2,42,10
2,40,1,21,1,-1,11,3,46,13
2,40,1,61,1,-1,10,10,40,22
1,40,1,34,2,-1,5,10,22,22
2,40,1,69,1,-1,11,5,44,17
1,43,1,50,1,-1,4,1,14,1
2,42,1,52,1,-1,5,4,22,16
2,40,1,52,1,-1,9,5,36,17
1,43,1,49,1,-1,9,1,36,1
2,43,1,44,1,-1,10,3,42,14
2,46,4,63,1,-1,10,2,42,10
1,40,2,50,1,-1,9,5,36,17
1,42,2,63,1,-1,6,10,23,22
2,40,2,35,1,-1,6,10,23,22
1,40,2,35,1,-1,6,10,23,22
2,41,1,64,1,-1,9,5,36,17
1,40,1,32,1,-1,11,3,46,13
2,39,1,58,1,-1,11,4,46,16
1,39,1,56,1,-1,3,7,4,19
1,39,1,45,1,-1,3,7,4,19
2,39,2,41,1,-1,10,3,42,11
1,40,1,25,1,-1,5,4,22,16
1,39,1,21,1,-1,11,3,46,13
1,41,1,64,1,-1,5,10,22,22
2,42,1,63,1,-1,10,2,41,10
1,41,1,44,1,-1,5,5,21,17
2,43,1,44,1,-1,10,2,42,10
1,42,1,61,1,-1,13,2,51,10
1,42,1,53,2,-1,6,1,23,1
2,43,1,51,1,-1,10,1,43,1
1,39,1,30,1,-1,5,1,22,1
1,42,1,57,1,-1,11,1,46,1
2,44,1,58,1,-1,10,1,40,1
1,39,1,42,1,-1,5,1,22,1
1,39,1,56,1,-1,9,1,36,2
2,39,6,55,1,-1,8,4,34,16
2,39,1,59,1,-1,12,4,47,16
2,44,1,63,1,-1,10,1,41,2
2,43,1,59,1,-1,8,1,32,2
1,41,2,51,1,-1,8,1,32,1
2,44,1,32,1,-1,11,1,44,1
1,44,1,32,1,-1,13,1,51,2
1,42,6,53,1,-1,10,8,40,20
2,40,1,60,1,-1,10,5,41,17
2,40,1,30,1,-1,5,2,22,7
1,39,1,44,1,-1,5,1,22,1
2,40,2,50,1,-1,10,2,42,8
1,39,2,55,1,-1,6,9,23,21
2,44,1,35,1,-1,10,2,40,6
2,43,1,53,1,-1,10,2,42,10
1,39,1,44,6,-1,5,9,22,21
2,39,1,43,6,-1,4,9,14,21
1,39,3,59,1,-1,4,10,19,22
2,39,1,52,1,-1,10,5,41,17
1,39,1,60,1,-1,9,3,38,14
2,43,1,47,1,-1,8,1,32,1
1,43,2,51,1,-1,6,1,23,1
1,39,1,51,1,-1,6,1,23,1
2,39,1,51,1,-1,8,4,32,16
1,43,1,32,1,-1,5,10,22,22
1,40,1,30,1,-1,3,1,4,1
1,40,7,36,1,-1,11,3,46,13
2,41,2,37,1,-1,11,3,46,13
2,44,1,27,1,-1,10,2,40,8
2,44,1,28,1,-1,13,2,51,5
2,43,2,49,1,-1,10,2,40,8
1,39,2,48,1,-1,5,4,22,16
1,39,1,50,1,-1,3,7,4,19
2,40,1,24,1,-1,5,10,22,22
1,39,1,18,1,-1,6,5,24,17
1,43,1,41,7,-1,3,7,4,19
1,43,1,73,1,-1,9,3,38,14
2,43,1,29,1,-1,5,4,22,16
1,43,1,63,1,-1,10,5,42,17
2,39,1,60,1,-1,3,1,4,1
1,44,1,61,1,-1,4,1,10,2
1,44,1,60,1,-1,9,1,36,2
2,44,1,57,1,-1,8,1,32,1
1,43,1,27,1,-1,8,2,32,3
2,43,1,63,1,-1,10,1,40,1
2,43,2,37,1,-1,9,1,36,2
2,40,2,66,1,-1,5,4,22,16
1,39,1,22,1,-1,3,8,4,20
2,41,1,21,1,-1,12,3,48,15
1,42,1,48,1,-1,4,9,6,21
2,43,1,54,1,-1,13,2,51,9
2,40,1,36,1,-1,9,3,36,11
2,36,1,16,1,-1,4,3,14,13
2,34,7,29,1,-1,9,3,38,14
1,40,2,44,1,-1,9,1,36,2
1,43,2,24,1,-1,9,2,36,3
2,43,2,28,1,-1,13,3,51,12
1,40,3,40,1,-1,7,1,26,1
2,43,3,39,1,-1,10,2,42,10
1,40,2,73,1,-1,10,10,40,22
1,39,2,35,1,-1,9,10,36,22
2,33,1,52,2,-1,9,3,38,14
2,44,1,68,1,-1,10,2,43,8
1,44,1,64,1,-1,10,2,40,8
1,39,4,58,1,-1,4,9,7,21
2,31,4,65,1,-1,4,9,8,21
2,39,4,29,1,-1,3,5,4,17
1,40,2,59,1,-1,10,1,40,1
2,43,2,40,1,-1,8,5,33,17
2,43,2,55,4,12,8,5,33,17
1,44,2,53,1,-1,3,1,4,1
2,43,2,24,1,-1,12,5,47,17
2,40,1,72,1,-1,12,5,48,17
2,44,1,55,1,-1,10,2,42,6
1,40,1,24,1,-1,1,6,1,18
2,44,2,73,1,-1,10,2,41,10
2,42,1,68,1,-1,7,5,25,17
1,40,1,69,1,-1,12,8,47,20
2,39,1,32,1,-1,11,3,45,15
1,42,1,55,1,-1,6,5,23,17
1,41,4,36,1,-1,3,8,4,20
1,39,1,40,1,-1,9,3,38,14
2,43,1,43,1,-1,11,3,44,15
1,46,1,48,1,-1,9,2,36,7
2,43,1,53,1,-1,8,1,33,2
1,44,1,38,1,-1,9,1,36,2
1,45,2,56,1,-1,9,1,38,1
1,39,2,40,1,-1,6,10,23,22
2,40,1,37,1,-1,6,10,23,22
1,39,1,72,1,-1,5,4,22,16
1,44,4,44,1,-1,9,2,38,3
2,43,4,41,1,-1,8,4,34,16
1,43,2,54,1,-1,10,2,40,3
1,45,2,40,1,-1,10,2,41,10
2,45,1,44,1,-1,9,2,36,7
2,39,1,53,1,-1,5,2,22,10
1,39,1,53,1,-1,9,2,36,3
1,43,1,51,1,-1,9,2,36,3
1,43,2,29,1,-1,9,1,36,1
2,44,2,33,1,-1,9,1,36,1
1,39,2,40,1,-1,5,4,22,16
2,39,2,39,1,-1,5,4,22,16
1,43,16,44,1,-1,6,4,24,16
2,46,1,46,1,-1,9,2,36,4
2,40,2,54,1,-1,10,5,42,17
1,40,2,59,1,-1,11,3,46,13
2,40,2,32,7,-1,10,5,42,17
1,37,2,29,7,-1,11,3,46,13
1,41,2,65,1,-1,6,2,23,3
2,43,2,68,7,-1,9,2,36,5
2,44,1,63,1,-1,10,2,41,10
1,39,1,43,1,-1,3,7,4,19
2,40,4,38,1,-1,12,3,48,15
1,35,4,38,1,-1,12,3,48,15
2,43,2,46,1,-1,8,4,33,16
2,43,4,58,1,-1,10,1,42,1
1,43,2,31,1,-1,6,10,23,22
1,39,1,50,1,-1,9,2,36,3
2,41,1,37,1,-1,8,5,33,17
1,32,1,60,1,-1,4,9,14,21
2,39,1,49,1,-1,5,4,22,16
1,39,1,33,1,-1,4,9,10,21
1,39,1,20,1,-1,5,4,22,16
2,39,1,21,1,-1,4,9,14,21
2,40,1,79,1,-1,10,3,43,12
1,42,1,80,2,-1,6,3,23,14
1,40,1,54,3,2,6,9,23,21
1,46,1,45,1,-1,13,2,51,3
2,44,2,49,1,-1,13,5,51,17
2,40,1,26,1,-1,10,3,40,14
1,39,1,24,1,-1,3,7,4,19
2,43,1,62,1,-1,13,1,51,1
1,42,1,62,1,-1,4,5,11,17
1,39,1,30,1,-1,4,1,14,1
2,41,1,63,1,-1,10,5,42,17
1,40,1,32,1,-1,5,4,22,16
1,41,1,50,1,-1,13,3,51,12
2,35,1,17,1,-1,11,3,46,13
1,39,1,24,1,-1,4,9,11,21
2,39,2,66,1,-1,4,9,18,21
1,31,2,36,1,-1,9,3,38,14
2,44,1,59,1,-1,13,2,51,3
