pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1,gtcbsa
1,42,1,37,1,-1,11,1,46,1,43340
2,43,1,38,1,-1,10,2,40,8,43340
2,43,1,41,1,-1,10,2,40,8,0
2,39,1,41,1,-1,8,1,32,1,38860
1,40,1,46,1,-1,9,2,36,9,38860
2,43,1,68,1,-1,13,1,51,1,38860
1,39,1,68,1,-1,3,7,4,19,38860
1,44,1,32,1,-1,9,1,36,1,38860
2,43,9,35,1,-1,8,1,33,1,38860
2,39,1,64,1,-1,10,3,41,14,0
1,39,1,63,1,-1,9,3,38,14,0
2,39,1,39,1,-1,11,3,46,13,0
2,39,1,56,1,-1,5,4,22,16,0
1,39,1,75,1,-1,5,1,22,2,0
2,40,1,56,1,-1,3,5,4,17,12580
1,44,1,41,1,-1,4,2,10,4,47900
1,43,1,24,1,-1,10,2,41,10,12580
2,43,1,25,1,-1,10,2,40,10,12580
1,43,1,74,1,-1,10,10,40,22,15680
2,39,1,46,1,-1,10,2,40,6,15680
1,39,1,53,1,-1,4,1,13,1,15680
1,39,1,22,1,-1,5,4,22,16,15680
1,39,1,18,1,-1,9,3,38,14,15680
1,39,1,18,1,-1,11,3,46,13,15680
1,39,1,60,1,-1,3,7,4,19,0
1,39,1,58,1,-1,1,1,1,1,12580
1,39,1,65,1,-1,1,6,1,18,12580
1,39,1,30,1,-1,1,6,1,18,12580
2,39,1,29,1,-1,13,5,51,17,12580
2,39,1,61,1,-1,1,5,1,17,37980
1,40,1,63,1,-1,3,1,4,2,37980
2,40,1,32,1,-1,12,2,49,6,37980
1,43,1,55,1,-1,4,5,10,17,12580
2,40,1,44,1,-1,12,2,49,6,12580
2,43,1,69,1,-1,10,2,40,8,47900
1,46,4,32,1,-1,8,2,32,3,47900
2,44,4,33,1,-1,4,1,19,2,47900
1,39,1,37,1,-1,3,7,4,19,47900
2,44,4,33,2,-1,13,2,51,3,47900
1,39,1,39,1,-1,3,7,4,19,47900
2,43,4,48,2,-1,10,2,41,10,47900
1,44,4,45,1,-1,5,5,22,17,47900
2,44,2,41,1,-1,10,2,43,6,47900
1,40,2,45,1,-1,8,9,34,21,47900
2,39,2,58,1,-1,10,3,42,11,47900
2,39,2,36,1,-1,10,3,42,11,47900
1,39,1,22,1,-1,10,5,42,17,47900
1,39,1,45,1,-1,3,7,4,19,47900
2,39,1,47,1,-1,12,3,50,15,47900
2,42,1,21,1,-1,3,1,4,1,47900
1,39,4,40,1,-1,13,10,51,22,47900
2,43,4,44,1,-1,10,1,43,1,47900
2,45,1,47,1,-1,9,2,36,7,47900
1,45,1,54,1,-1,9,1,36,2,47900
1,43,1,47,1,-1,13,2,51,5,47900
1,43,1,30,1,-1,8,1,34,2,47900
2,43,2,29,1,-1,10,1,40,1,47900
1,39,2,21,1,-1,5,4,22,16,47900
2,43,2,66,4,12,8,5,35,17,47900
2,45,1,36,1,-1,10,2,42,10,47900
1,43,1,41,1,-1,5,4,21,16,47900
1,39,2,40,1,-1,5,9,22,21,47900
1,39,1,20,1,-1,5,10,22,22,12580
2,41,2,46,1,-1,6,5,23,17,15680
1,41,1,39,1,-1,3,7,4,19,39300
2,40,1,58,1,-1,4,10,7,22,39300
2,43,1,46,1,-1,9,5,39,17,39300
