peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
44,1,50,1,-1,8,2,32,5
44,1,59,1,-1,10,2,43,6
44,1,65,1,-1,9,2,36,4
46,1,33,1,-1,13,3,51,12
44,1,33,1,-1,10,5,41,17
43,1,39,1,-1,6,5,23,17
43,1,51,4,9,8,4,34,16
40,1,25,1,-1,6,5,23,17
46,4,37,1,-1,10,2,42,10
46,4,40,1,-1,10,2,42,10
46,1,68,1,-1,13,1,51,2
44,2,51,1,-1,10,2,40,10
43,4,27,1,-1,11,3,45,12
43,4,31,1,-1,10,2,41,10
41,2,48,1,-1,10,3,42,11
39,2,66,1,-1,10,3,42,11
44,2,65,1,-1,9,1,36,2
42,1,27,1,-1,11,5,44,17
46,2,58,1,-1,12,2,49,7
43,2,55,1,-1,5,2,22,3
33,1,42,1,-1,9,3,38,14
35,1,36,1,-1,3,7,4,19
40,1,64,4,8,9,3,38,13
41,2,52,6,-1,10,7,40,19
41,2,59,1,-1,9,1,36,2
43,2,59,1,-1,11,1,45,1
43,1,26,1,-1,9,2,36,4
39,1,34,7,-1,5,9,22,21
39,1,59,1,-1,10,5,42,17
40,1,37,1,-1,10,3,42,11
38,1,40,1,-1,3,1,4,1
38,1,17,4,6,11,3,46,13
36,1,16,1,-1,11,3,46,13
39,1,33,1,-1,3,7,4,19
44,1,33,1,-1,10,2,40,10
44,1,60,1,-1,9,1,36,1
43,1,55,1,-1,4,1,7,1
43,1,59,1,-1,9,2,36,8
40,1,57,1,-1,1,6,1,18
43,1,52,1,-1,9,2,36,5
45,1,70,1,-1,9,1,36,1
40,1,35,1,-1,10,5,42,17
39,1,35,1,-1,5,5,22,17
43,1,61,1,-1,6,1,24,1
44,1,61,1,-1,10,3,42,11
44,2,32,1,-1,8,2,32,3
44,4,34,1,-1,9,2,36,3
44,4,62,1,-1,9,5,36,17
40,1,66,1,-1,8,1,34,1
44,1,53,1,-1,9,5,36,17
43,1,53,1,-1,9,1,36,1
40,1,21,7,-1,9,5,36,17
40,1,23,7,-1,11,3,46,13
32,1,52,1,-1,3,7,4,19
40,1,16,1,-1,3,3,4,13
43,1,34,1,-1,10,1,42,2
44,1,34,1,-1,10,2,40,8
39,1,52,1,-1,6,5,23,17
40,1,55,1,-1,7,8,29,20
32,1,61,1,-1,12,3,49,14
43,1,22,1,-1,8,1,32,2
44,1,52,1,-1,8,1,32,2
41,1,49,1,-1,11,1,44,1
46,1,47,1,-1,10,2,41,5
44,1,52,1,-1,10,5,41,17
45,1,60,1,-1,4,2,19,7
43,1,42,1,-1,10,2,41,10
43,1,45,1,-1,8,1,34,1
43,4,51,1,-1,5,4,22,16
43,4,46,1,-1,10,2,43,8
43,4,24,1,-1,10,2,41,5
39,4,20,1,-1,10,3,40,15
46,4,36,1,-1,10,2,41,10
43,4,48,1,-1,9,9,36,21
43,1,58,1,-1,9,2,36,3
43,1,73,1,-1,4,9,8,21
43,1,17,1,-1,4,1,8,1
44,1,55,1,-1,10,2,40,8
40,1,19,1,-1,10,3,40,15
43,1,54,1,-1,7,4,25,16
43,1,51,1,-1,10,2,40,8
40,1,18,1,-1,10,2,40,3
39,1,49,1,-1,10,2,40,8
39,1,65,1,-1,9,8,38,20
43,1,25,1,-1,5,3,22,12
43,1,23,1,-1,13,1,51,2
46,4,41,1,-1,9,2,36,5
46,1,38,1,-1,4,1,19,1
43,1,57,1,-1,9,1,36,1
44,1,53,1,-1,12,2,48,10
39,1,20,2,-1,11,4,46,16
36,1,17,1,-1,5,10,22,22
43,1,51,1,-1,8,1,32,1
46,4,50,1,-1,9,2,36,5
44,4,47,1,-1,4,2,19,5
41,2,19,1,-1,10,2,41,10
44,2,42,1,-1,13,2,51,6
43,4,45,1,-1,11,1,46,1
43,4,43,1,-1,11,1,46,1
39,1,53,3,7,3,7,4,19
45,1,39,1,-1,10,2,41,10
43,1,39,1,-1,9,1,36,2
44,1,47,1,-1,8,1,32,1
44,1,44,1,-1,10,1,42,1
39,1,20,1,-1,12,3,50,15
43,8,50,1,-1,5,1,21,1
39,1,44,1,-1,3,1,4,1
46,1,44,2,-1,9,2,36,3
36,1,15,1,-1,10,2,40,9
44,1,48,1,-1,10,2,40,8
43,1,48,1,-1,5,4,22,16
40,1,22,1,-1,10,2,43,8
36,1,18,1,-1,5,4,22,16
43,1,59,1,-1,9,1,36,2
43,1,30,1,-1,10,2,41,10
44,1,27,1,-1,10,1,40,2
44,1,26,1,-1,10,2,41,10
42,1,49,1,-1,5,1,22,1
42,1,38,1,-1,10,2,40,8
45,1,53,1,-1,9,2,36,7
40,1,19,1,-1,10,3,40,15
36,1,17,1,-1,5,4,22,16
42,1,49,4,48,10,3,42,11
39,2,54,1,-1,10,3,41,11
40,1,40,1,-1,11,1,46,1
