pesex,peeduca,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
2,40,38,1,-1,12,3,48,15
1,39,50,1,-1,3,7,4,19
2,40,52,1,-1,12,2,49,6
2,35,37,1,-1,10,3,43,11
1,37,42,1,-1,5,10,21,22
1,37,67,1,-1,6,10,23,22
1,43,34,1,-1,9,2,36,3
2,43,38,1,-1,10,2,40,8
2,42,25,1,-1,12,5,48,17
1,40,24,1,-1,11,3,46,13
1,44,25,1,-1,10,2,40,8
1,43,24,1,-1,10,2,40,8
2,43,26,1,-1,13,2,51,6
1,39,49,1,-1,4,1,10,1
2,39,43,1,-1,4,5,16,17
1,43,43,1,-1,10,2,40,8
2,45,40,1,-1,10,2,40,8
1,39,42,1,-1,12,8,47,20
2,44,26,2,-1,10,2,40,8
2,43,57,1,-1,8,1,34,1
1,39,58,1,-1,9,3,38,14
1,39,69,1,-1,5,4,22,16
1,39,19,1,-1,5,10,22,22
1,39,77,1,-1,6,10,23,22
2,43,63,1,-1,10,2,40,8
1,41,26,1,-1,3,7,4,19
2,43,27,1,-1,10,2,41,10
2,40,48,1,-1,12,5,48,17
2,39,38,1,-1,10,2,43,8
1,34,58,1,-1,10,3,43,14
1,45,41,1,-1,10,2,40,8
2,39,58,1,-1,5,5,22,17
1,39,58,1,-1,6,8,23,20
2,37,42,1,-1,4,9,10,21
1,35,63,1,-1,3,10,4,22
1,39,33,1,-1,4,9,9,21
1,43,77,1,-1,12,10,47,22
2,43,29,1,-1,5,4,21,16
1,40,44,1,-1,5,10,22,22
2,39,36,1,-1,10,5,42,17
1,40,69,5,-1,6,5,23,17
2,39,24,1,-1,10,2,43,8
2,46,51,1,-1,12,2,49,7
1,43,58,1,-1,10,2,40,10
1,39,41,1,-1,5,7,22,19
2,42,40,1,-1,12,2,48,6
1,43,53,1,-1,5,4,21,16
2,39,57,1,-1,5,2,22,7
1,43,28,1,-1,10,2,40,6
2,39,55,1,-1,12,3,48,15
1,43,36,1,-1,10,2,40,8
1,39,28,1,-1,3,7,4,19
1,39,28,1,-1,3,7,4,19
2,46,64,1,-1,9,2,36,7
2,40,37,1,-1,10,5,43,17
1,36,62,1,-1,3,7,4,19
1,40,25,4,12,11,3,44,15
1,43,28,1,-1,4,9,19,21
1,43,32,1,-1,13,3,51,12
1,40,55,1,-1,13,2,51,8
2,40,54,1,-1,13,3,51,12
1,40,25,1,-1,9,1,36,1
1,40,47,1,-1,10,10,41,22
1,40,43,1,-1,11,2,44,3
1,40,25,1,-1,10,1,41,1
1,44,55,1,-1,10,1,42,2
2,46,48,1,-1,10,2,40,8
1,40,25,1,-1,11,1,46,1
2,44,28,1,-1,9,1,36,2
1,39,23,1,-1,5,10,21,22
2,39,24,1,-1,6,5,23,17
2,40,33,1,-1,5,4,22,16
1,40,33,1,-1,12,4,47,16
2,41,59,4,52,10,1,40,2
1,43,52,1,-1,4,5,17,17
2,40,24,1,-1,10,3,42,14
1,39,33,1,-1,5,10,22,22
2,39,48,1,-1,5,1,22,1
1,39,28,1,-1,2,7,3,19
2,38,34,1,-1,11,4,46,16
2,41,21,1,-1,5,2,22,10
2,42,57,1,-1,8,1,32,1
1,39,54,1,-1,4,3,10,14
1,39,33,1,-1,8,5,32,17
2,42,59,1,-1,10,5,40,17
2,46,44,1,-1,9,2,36,5
1,46,51,1,-1,9,2,36,5
1,39,68,1,-1,3,8,4,20
2,40,57,1,-1,10,5,41,17
1,43,61,1,-1,8,1,33,2
2,42,61,1,-1,10,3,43,11
1,39,47,1,-1,6,5,23,17
1,39,65,1,-1,4,7,10,19
2,39,63,1,-1,9,3,38,14
1,39,74,1,-1,8,8,34,20
2,39,77,1,-1,9,2,36,7
2,34,62,1,-1,6,10,23,22
2,39,43,1,-1,12,5,48,17
2,43,63,4,104,4,2,19,5
1,44,34,1,-1,3,1,4,1
1,39,67,1,-1,5,4,21,16
2,40,60,1,-1,10,3,42,11
1,39,21,1,-1,4,9,10,21
2,41,63,1,-1,5,4,22,16
1,39,42,1,-1,6,1,23,1
2,39,29,1,-1,10,5,42,17
1,43,29,1,-1,3,7,4,19
2,43,28,1,-1,10,2,40,10
2,39,55,1,-1,5,4,22,16
2,40,50,1,-1,6,10,23,22
1,40,54,1,-1,9,2,36,9
2,44,39,4,8,11,3,44,12
1,44,36,1,-1,3,7,4,19
1,35,19,1,-1,3,7,4,19
1,40,34,1,-1,9,2,36,3
2,44,30,1,-1,9,2,36,3
1,46,55,1,-1,9,2,36,7
2,44,49,1,-1,13,2,51,10
2,37,17,1,-1,12,10,47,22
1,37,17,1,-1,13,1,51,1
1,43,31,1,-1,5,4,22,16
1,43,64,1,-1,9,1,36,2
1,39,61,1,-1,3,7,4,19
2,42,44,1,-1,6,5,23,17
1,42,46,1,-1,9,2,36,3
1,43,36,1,-1,13,2,51,4
2,44,40,1,-1,13,1,51,2
1,43,36,1,-1,4,1,7,2
2,43,31,1,-1,9,1,36,2
1,43,62,1,-1,6,1,24,1
1,43,35,1,-1,9,2,36,3
2,39,34,1,-1,12,3,48,15
2,39,42,1,-1,10,3,42,11
